Title,Latitude,Longitude,Description
"Senia",21.3107,-157.8622,"Three-Michelin-star trained chef running two experiences under one roof — casual a la carte downstairs, elite 8-seat Chef's Counter upstairs.

Category: restaurant / fine-dining
Area: Chinatown / Downtown
Price: $$$
Must Order: Chef's Counter tasting menu (Fri/Sat only, reserve weeks ahead); seared foie gras with haupia; any dessert — pastry chef Michelle Karr-Ueoka trained at Per Se and French Laundry
Parking: Street parking on King/Nuuanu; paid lots on Smith St

Opened in 2016 by Chef Chris Kajioka and pastry chef Michelle Karr-Ueoka, both Alan Wong alumni. Kajioka trained at Per Se under Thomas Keller and at Vintage Cave. The 8-seat Chef's Counter (Fri-Sat only) is a multi-course tasting menu ranked among Hawaii's best dining experiences — book 3-4 weeks ahead. Won Hale 'Aina Gold for Best Restaurant and Best Tasting Menu multiple years. The a la carte dining room downstairs is more approachable for a weeknight. Michelle's desserts draw on French Laundry precision with local Hawaiian flavors."
"Side Street Inn",21.2946,-157.8472,"Where Honolulu chefs eat on their day off — the fried rice feeds four and costs sixteen bucks.

Category: restaurant / plate-lunch
Area: Ala Moana
Price: $$
Must Order: pan-fried pork chops ($16–20, THE signature dish); signature fried rice ($14–16, enormous portions)
Parking: Street parking

Colin Nishida opened Side Street Inn in 1992 as a neighborhood bar, then his pan-fried pork chops got so famous he earned a James Beard semifinalist nod. After Honolulu's top chefs close their own kitchens at 10-11pm, they come here — this is literally where the restaurant industry eats. Anthony Bourdain visited and called it essential. Order family-style, 3-4 dishes for two people. The fried rice portion feeds a small army for $16."
"Tokkuri Tei",21.275,-157.8156,"Honolulu's original izakaya — the garlic ahi belly and tofu steak are why reservations fill a week out.

Category: restaurant / izakaya
Area: Kapahulu
Price: $$
Must Order: ika yaki (squid pancake, $12–14 — THE signature dish); maguro tataki ($14–16); garlic edamame; nasu dengaku (miso eggplant); black sesame ice cream
Parking: Street parking on side streets mauka of Kapahulu

Opened in the early 1990s by chef/owner Hide Yoshimoto (Hide-san), Tokkuri Tei was one of the first authentic izakayas in Hawaii and helped spark the island's entire izakaya boom. The ika yaki (squid pancake) is the legendary signature dish. Order multiple small plates to share — izakaya style means rounds of dishes, not one entree per person. Ask staff for sake pairing guidance. Go Tue/Wed for walk-in seating; weekends book up fast."
"Zippy's Restaurant",21.2996,-157.8433,"Hawaii's diner chain that every local grew up on — chili and zip packs are a way of life.

Category: restaurant / plate-lunch
Area: King Street
Price: $
Must Order: Zippy's Chili — the iconic thick, beefy chili that's been the same since 1966; Zip Pack — fried chicken, chili, rice, and mac salad in one legendary combo; Napoleon Bakery cream puffs — the grab-and-go bakery case is dangerously good
Parking: Most locations have their own lot. King Street location has a parking lot behind the building.

Founded in 1966 by Francis Higa and Charles Toguchi, Zippy's is Hawaii's most beloved diner chain with 20+ locations across Oahu. The chili recipe is a legit state secret — they've never revealed it in nearly 60 years. Every local kid grew up eating here after practice, after prom, at 2am. The Zip Pack (fried chicken, chili, rice, mac salad) is an institution. Napoleon Bakery inside sells cakes and cream puffs for every birthday party on the island. It's not fancy, but for locals it's home."
"Island Snow",21.3965,-157.7311,"Obama's Kailua go-to — every presidential visit = a stop here. Also a legit surf shop.

Category: shave-ice / classic
Area: Kailua
Price: $
Must Order: any flavor with vanilla ice cream on the bottom (the Island Snow signature); li hing mui powder on top; passion orange guava (POG)
Parking: Parking in the Kailua Shopping Center lot next door

A Kailua institution since 1979, Island Snow was a legit surf and skate shop long before Barack Obama made it famous. Every Christmas vacation during his presidency, Obama's motorcade would pull up for shave ice -- Secret Service and all. Owner Craig Sugihara sponsors local surf groms and the shop is deeply woven into Kailua's beach culture. The signature move is a scoop of vanilla ice cream buried at the bottom of every cone, which you discover as the shave ice melts down."
"Matsumoto Shave Ice",21.5911,-158.1028,"The North Shore icon since 1951 — the rainbow combo is non-negotiable.

Category: shave-ice / classic
Area: Haleiwa
Price: $
Must Order: rainbow combo (strawberry-lemon-pineapple); lilikoi; li hing mui; coconut; azuki beans + ice cream on the bottom
Parking: Street parking — fills fast on weekends

Mamoru and Helen Matsumoto opened this Haleiwa general store in 1951, originally selling groceries to plantation workers. The shave ice was just a side offering, but it became so popular that by the 1970s it had taken over the entire business. The original wooden building and hand-painted sign are now North Shore landmarks. Lines wrap around the building during peak season — 20 minutes on a good day, 45-60 minutes when tour buses arrive. Arrive right at 10am opening for the shortest wait. President Obama stopped here during Hawaii vacations, and the branded T-shirts have become a legitimate Oahu souvenir. Over a thousand customers per day during peak season."
"Uncle Clay's House of Pure Aloha",21.2785,-157.7552,"All-natural syrups and real fruit — this is shave ice elevated to an art form.

Category: shave-ice / gourmet
Area: Aina Haina
Price: $
Must Order: lilikoi cream — tangy and rich, their signature; strawberry lemonade with li hing mui powder on top; haupia with azuki beans on the bottom
Parking: Small lot in Aina Haina Shopping Center — easy parking

Founded by Clayton 'Uncle Clay' Chang, who grew up eating shave ice from old-school stands and wanted to recreate that experience using all-natural ingredients. Every syrup is made in-house from real fruit with no artificial colors or flavors -- a mission that won him Honolulu Magazine's Best Shave Ice multiple years running. The Aina Haina strip mall location keeps the crowd mostly local. Uncle Clay and his family work the counter daily, and the 'pure aloha' ethos is genuinely felt."
"Waiola Shave Ice",21.2927,-157.8292,"Honolulu institution since 1979 — cloud-soft ice that soaks up syrup better than anywhere.

Category: shave-ice / classic
Area: Moiliili
Price: $
Must Order: any flavor — the ice texture is the star here; azuki beans; li hing mui
Parking: Street parking on Waiola St or in the small lot behind the shop

Operating in Mo'ili'ili since 1979, Waiola is the shave ice spot that UH Manoa students, professors, and neighborhood families have relied on for over four decades. The ice texture here is legendary -- shaved so fine it's almost powdery, meaning the syrup absorbs completely instead of pooling at the bottom. Won Honolulu Magazine's Best Shave Ice multiple years. The residential neighborhood location means no tourist crowds, just regulars who consider any other shave ice inferior."
"Bailey's Antiques & Aloha Shirts",21.2765,-157.8152,"The world's largest collection of vintage aloha shirts — 15,000+ pieces in a Kapahulu warehouse that's a museum you can shop.

Category: shopping / vintage
Area: Kapahulu
Price: $-$$$
Hours: Daily 10am-6pm
Best Time: Weekday afternoons for unhurried browsing
Parking: Street parking on Kapahulu Ave
Kid Friendly: Yes

Owner Dave Bailey started collecting aloha shirts in the 1970s and turned his obsession into the world's largest vintage aloha shirt collection -- over 15,000 pieces crammed floor to ceiling in a Kapahulu warehouse. Rare 1930s-50s rayon silks from makers like Shaheen and Kamehameha can fetch thousands. Barack Obama, Anthony Bourdain, and Japanese vintage collectors regularly shop here. The $5-$20 rack near the door has legitimate treasures for those willing to dig."
"Surf n Sea",21.594,-158.107,"The oldest surf shop in Hawaii (1965) — real surfers sell and rent gear in a colorful Haleiwa waterfront landmark.

Category: shopping / surf-shop
Area: North Shore
Price: $$
Hours: Daily 9am-7pm
Best Time: Morning for the best advice on where to surf that day; check the used board section in back
Parking: Small lot; street parking on Kamehameha Hwy
Kid Friendly: Yes

Founded in 1965 by Dr. Lowell Chenoweth, a dentist-turned-surfer, Surf N Sea is Hawaii's oldest surf shop and a North Shore institution. The colorful wooden building on the Haleiwa waterfront is one of the most photographed structures on the North Shore. The staff are working surfers who can tell you where the best waves are breaking that day. The used board section in back has deals from departing pros, and the shop sponsors the annual Buffalo Big Board Surfing Classic."
"Three Tables",21.6468,-158.0621,"The easiest reef entry on the North Shore — walk right in from sand and float over a turtle-dotted reef.

Category: snorkel / beginner
Area: North Shore
Price: Free
Hours: Open 24 hours (no gates; Pupukea Beach Park)
Best Time: Summer (May–Sep) for calm conditions; morning for best visibility
Parking: Shares free lot with Shark's Cove across the street
Kid Friendly: Yes

Named for three flat reef platforms that emerge at low tide, this site sits within the Pupukea Marine Life Conservation District where fishing and collecting are prohibited — so reef life is noticeably denser than unprotected areas. The sandy channel between the tables is a cleaning station where honu line up to let cleaner wrasse pick parasites off their shells. Winter swells turn this same reef into a violent washing machine — the season shift catches visitors off guard."
